,datetime,Lat,Lon
809676,9/24/2014 15:38:00,40.7613,-73.9796
535182,5/16/2014 8:39:00,40.7331,-73.9811
195803,9/20/2014 10:54:00,40.7367,-73.9248
267540,4/14/2014 14:43:00,40.7352,-73.9856
45360,9/2/2014 21:23:00,40.762,-73.9787
410118,6/24/2014 5:32:00,40.7382,-73.9857
749551,7/26/2014 0:37:00,40.7022,-73.9875
68073,4/7/2014 15:55:00,40.7558,-73.9976
487656,6/5/2014 12:10:00,40.7874,-73.9812
409250,8/13/2014 22:23:00,40.6472,-73.7887
732353,9/12/2014 21:17:00,40.7685,-73.9555
37835,5/1/2014 7:33:00,40.7271,-73.9932
264662,6/29/2014 9:03:00,40.8021,-73.9614
573771,7/30/2014 19:59:00,40.757,-73.9762
157749,5/15/2014 14:56:00,40.7058,-74.0071
349893,6/13/2014 22:34:00,40.7185,-74.0059
611713,7/4/2014 14:08:00,40.7288,-73.9993
332640,8/7/2014 16:24:00,40.7851,-73.9748
420978,8/14/2014 21:10:00,40.7643,-73.9713
145116,7/15/2014 20:39:00,40.7731,-73.8854
596443,6/21/2014 4:28:00,40.7547,-73.9779
545075,4/30/2014 12:22:00,40.7369,-74.0032
513261,6/9/2014 7:34:00,40.7161,-73.9982
294421,5/31/2014 19:11:00,40.7742,-73.949
427440,5/1/2014 21:28:00,40.6759,-73.9649
434924,6/27/2014 8:09:00,40.7332,-73.9755
4769,8/5/2014 10:30:00,40.7173,-74.0036
942360,9/19/2014 5:25:00,40.695,-74.178
104158,5/9/2014 6:23:00,40.7364,-73.9986
200225,5/19/2014 22:25:00,40.7273,-73.992
553405,9/22/2014 13:48:00,40.673,-73.999
213156,6/22/2014 19:05:00,40.7302,-73.9549
500109,5/11/2014 9:49:00,40.6897,-73.9926
167070,6/17/2014 8:04:00,40.7284,-73.9837
695358,9/7/2014 12:56:00,40.6447,-73.7824
443833,4/16/2014 12:57:00,40.7082,-74.0076
168647,7/18/2014 15:32:00,40.7078,-74.0059
175010,6/18/2014 7:43:00,40.7658,-73.9827
471467,6/3/2014 7:56:00,40.7208,-73.9889
15182,9/12/2014 17:58:00,40.7281,-74.0055
531805,4/28/2014 19:30:00,40.6763,-73.9801
290943,7/2/2014 15:08:00,40.7246,-73.9974
280476,7/31/2014 23:34:00,40.722,-73.9973
805890,9/23/2014 21:01:00,40.7421,-73.9911
816762,8/28/2014 7:03:00,40.8301,-73.94800000000001
95186,7/10/2014 8:43:00,40.7469,-73.9839
327948,9/5/2014 13:00:00,40.7576,-73.9895
344670,4/3/2014 16:12:00,40.7245,-73.9912
487726,4/23/2014 8:43:00,40.7596,-73.9856
489777,8/21/2014 6:25:00,40.7382,-74.008
347835,4/3/2014 20:57:00,40.7513,-74.0065
1530,7/2/2014 15:27:00,40.7607,-73.9785
284235,8/3/2014 15:52:00,40.7741,-73.8725
73614,4/8/2014 16:06:00,40.7522,-73.9776
583139,7/31/2014 15:54:00,40.7799,-73.9764
771221,7/29/2014 19:51:00,40.7939,-73.9423
510344,7/25/2014 9:00:00,40.6883,-74.0005
249757,9/27/2014 14:45:00,40.7299,-73.9915
629247,7/8/2014 17:49:00,40.7853,-73.9573
145253,9/14/2014 7:14:00,40.7806,-73.9543
